date,ticker,price
2024-01-01,AAPL,149.50738707497516
2024-01-02,AAPL,151.319470987233
2024-01-03,AAPL,152.49646784627546
2024-01-04,AAPL,151.8630220355946
2024-01-05,AAPL,151.68660525459669
2024-01-06,AAPL,152.07724088638784
2024-01-07,AAPL,152.55554206975265
2024-01-08,AAPL,151.44872700596275
2024-01-09,AAPL,150.73638431975803
2024-01-10,AAPL,150.4529851136694
2024-01-11,AAPL,150.71605181253904
2024-01-12,AAPL,151.13800607138302
2024-01-13,AAPL,150.35222098283987
2024-01-14,AAPL,151.52956657858024
2024-01-15,AAPL,150.8966541549836
2024-01-16,AAPL,150.77068306201298
2024-01-17,AAPL,150.67433253636588
2024-01-18,AAPL,152.38505872270412
2024-01-19,AAPL,153.70806180886487
2024-01-20,AAPL,156.18278781303863
